Unnamed: 0,time,content
0,2020-07-13 22:27:24.8 IST,"These calls Stella sketch up, bring these things with from the store 16th of fresh snow piece, five, six labs of blue cheese and maybe a snack brother ball. We also need a small plastic snake and the big choice for all the kids. She can scoop these things into three read bags and we will get to make a Wednesday at the train station."
1,2020-07-13 22:28:14.6 IST,"Please call Stella after to bring day safe with her from the store six thirty to fresh snow P. five, six labs and blue cheese and maybe a snack for brother Bob we also need a small plastic steak and a big to a product for the kids, she can scoop these things into three red backs and we will go meet her Wednesday at the train station."
2,2020-07-13 22:28:58.4 IST,"Please costella ask her to bring these things as her from the store six things a fresh snow P. five, six labs and blue cheese and maybe a snap for her brother Bob. They also need a small plastic snake and a big toy fraud for the kids. She can scape these things and two three red backs. And we will go meet her Wednesday at the train station."
3,2020-07-13 22:29:45.2 IST,Please cause then I asked her to bring these things with her from the store sixteen the fresh snow pies five pics of the policies and maybe a snack for her brother Bob. We also need a small plastic snake and the big towards Fox with the kids. She can see these things into three at bikes and we will go meet her Wednesday at the train station.
4,2020-07-13 22:30:32.6 IST,Ask him to bring these things with you from store the first no pins for six labs and Bluetooth and maybe as knack for her brother bull. Real funny to smoke press two for all the key.Things into three years and you've got me here Wednesday I could train station.
5,2020-07-13 22:31:19.4 IST,Please call Stella asked her to bring these things with her from the store six boons a fresh no pies five six labs of blue cheese and maybe a snack for her brother Bob we also need a small plastic snake and a big toy for all for the kids she can scoop these things into three read bags and we will go meet her Wednesday at the train station.
6,2020-07-13 22:32:05.0 IST,"Please call still extra to bring things these things with her from the school six of fresh no piece fast six lab, the blue cheese and maybe a snack for her bra. But we also need a small class is Nick and it'd be totally wrong from the key for the key.She can, will these things into three rate and we will Gobain her Winston at the main train station?"
7,2020-07-13 22:33:04.4 IST,Bring these things with her from the store six five six leads Bluejeans and maybe a snack for brother Bob. Small plastics making a big project for the kids she can scoop these things in the three read bags and we'll go meter once they at the train station.
8,2020-07-13 22:33:47.0 IST,Please call star asked her to bring these things with her from the store. Six blooms a fresh snow pies five six slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake that the big toy frog for the kids. She can scoop these things into three read bags and we will go to me for Wednesday at the train station.
9,2020-07-13 22:34:32.6 IST,"Stella, S. for the central fair from the store six phones are first. No, please, five, six flags or blue cheese and maybe a snack for her brother bomb. We also need a small plastic snake and the big problem for the kids she can't scoop these things into read read back and we will go meet her Wednesday at the train station."
10,2020-07-13 22:35:20.6 IST,Please call Stella S. pretty bring these things with her from the store six to the fresh snow pies five six last the food cheese and maybe a snack for her brother Bob. We also need a small plastic snake and if they twice frog to the kids she can scoop these things from the three read bags and we will don't meet her Wednesday at the train station.
11,2020-07-13 22:36:08.6 IST,"Please call stellar asked her to bring these things with her from the store experience of fresh no P. five, six lives of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and big twice for of the kids. She can scoop these things into three bread banks and we will go meet her Wednesday at the train station."
12,2020-07-13 22:36:57.2 IST,This call is Stella Oscar to bring these things with us from the store six boon to fresh no pays five six slobs would go chase and maybe a snack for her brother Bob. We also need a small plastic snake and a big twenty frogs for the kids. She can scoop these things in that bags we will go meet to Wednesday at the train station.
13,2020-07-13 22:37:43.4 IST,Please call Stella ask her to bring the best things with her from the store. Six students are fresh no P. five six slabs of Bluetooth and maybe a snack for her brother Bob. We also need a small plastic snake and a big tore frog for the kids she can scoop these things into three read bags and we will go meet her Wednesday at the train station.
14,2020-07-13 22:38:33.8 IST,"Please call Stella ask her to bring these things with her from the store six of fresh snow piece five, six slabs of blue cheese and maybe a snack for her brother Bob. We also need a small plastic snake and a big choice for all for the kids she can scoop these things into three red backs. And we will go meter Wednesday at the train station."
